Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,AppName__c,Command__c,Enabled__c,ErrorMessage__c,Expected__c,ExtId__c,Fix__c,Message__c,Operation__c,Order__c
a00L000000937ZeIAI,005L0000004PQJaIAO,false,ACT-0000,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:18.000+0000,2018-08-24T20:20:18.000+0000,Travis,travis version,true,Invalid response received,1.8.8,a00L0000008OHExIAO,gem install travis,Checking exact: travis version,Check Exact,42
a00L000000937ZfIAI,005L0000004PQJaIAO,false,ACT-0001,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:18.000+0000,2018-08-24T20:20:18.000+0000,SFDX (Java),C:\Users\Admin\AppData\Roaming\Code\User\settings.json,true,Invalid response received,,a00L0000008OHF7IAO,,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-visualforce-42*,JSON File - Edit,37
a00L000000937ZgIAI,005L0000004PQJaIAO,false,ACT-0002,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:17.000+0000,2018-08-24T20:20:17.000+0000,VS Code,code,true,"Unable to open application: ""VS Code""",Application runs with no errors,a00L0000008OHDzIAO,,"Opening Application: ""VS Code"". Was this succesful?",Open Application,11
a00L000000937ZhIAI,005L0000004PQJaIAO,false,ACT-0003,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:17.000+0000,2018-08-24T20:20:17.000+0000,Chrome: Bookmark: Survey,C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Survey,Bookmark is correct,a00L0000008OH0CIAW,,Validating: Chrome: Bookmark: Survey,Chrome Bookmark,14
a00L000000937ZiIAI,005L0000004PQJaIAO,false,ACT-0004,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:18.000+0000,2018-08-24T20:20:18.000+0000,VS Code Plugin (3/6),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-apex-debugger-42*,true,Invalid response received,salesforce.salesforcedx-vscode-apex-debugger-42,a00L0000008OHEYIA4,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-apex-debugger-42*,Check Path,32
a00L000000937ZjIAI,005L0000004PQJaIAO,false,ACT-0005,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:18.000+0000,2018-08-24T20:20:18.000+0000,VS Code Plugin (5/6),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-lightning-42*,true,Invalid response received,salesforce.salesforcedx-vscode-lightning-42,a00L0000008OHEiIAO,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-lightning-42*,Check Path,34
a00L000000937ZkIAI,005L0000004PQJaIAO,false,ACT-0006,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:23:06.000+0000,2018-08-24T20:23:06.000+0000,Clear Screen,,true,,,a00L0000008OGuTIAW,,,Clear,1
a00L000000937ZlIAI,005L0000004PQJaIAO,false,ACT-0007,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:17.000+0000,2018-08-24T20:20:17.000+0000,Chrome: Plugin,Chrome Plugin to split screen,true,User could not validate: Chrome Plugin to split screen,User validated: Chrome Plugin to split screen,a00L0000008OHDaIAO,,User validated: Chrome Plugin to split screen,Manual,10
a00L000000937ZmIAI,005L0000004PQJaIAO,false,ACT-0008,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:18.000+0000,2018-08-24T20:20:18.000+0000,SFDX Update,sfdx update,true,Could not validate: SFDX Update (sfdx update),sfdx-cli: Updating CLI... already on latest version,a00L0000008OHDpIAO,Please install SFDX from here: https://sfdc.co/sfdx_cli_win64,Validating: SFDX Update (sfdx update),Check Contains,28
a00L000000937ZnIAI,005L0000004PQJaIAO,false,ACT-0009,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,005L0000004PQJaIAO,2018-08-24T22:59:59.000+0000,2018-08-24T20:20:18.000+0000,2018-08-24T20:20:18.000+0000,Check Java version,java -version,true,Could not validate: Check Java version (java -version),"java version ""1.8.0_162""",a00L0000008OHE9IAO,"Please ensure Java JDK is installed. http://www.oracle.com/technetwork/java/javase/downloads/jdk8-downloads-2133151.html""",Validating: Check Java version (java -version),Check Contains,27
